State,Sex,Age_group,COVID-19_Deaths
District_of_Columbia,Male,55-64 ,81
District_of_Columbia,Male,65-74 ,125
District_of_Columbia,Male,75-84 ,88
District_of_Columbia,Male,85 _and_over,58
District_of_Columbia,Male,All_Ages,423
District_of_Columbia,Female,Under_1_year,0
District_of_Columbia,Female,0-17 ,0
District_of_Columbia,Female,1-4 ,0
District_of_Columbia,Female,5-14 ,0
District_of_Columbia,Female,15-24 ,
District_of_Columbia,Female,18-29 ,
District_of_Columbia,Female,25-34 ,
District_of_Columbia,Female,30-49 ,14
District_of_Columbia,Female,35-44 ,
District_of_Columbia,Female,45-54 ,21
District_of_Columbia,Female,50-64 ,62
District_of_Columbia,Female,55-64 ,49
District_of_Columbia,Female,65-74 ,67
District_of_Columbia,Female,75-84 ,61
District_of_Columbia,Female,85 _and_over,87
District_of_Columbia,Female,All_Ages,294
District_of_Columbia,Unknown,Under_1_year,0
District_of_Columbia,Unknown,0-17 ,0
District_of_Columbia,Unknown,1-4 ,0
District_of_Columbia,Unknown,5-14 ,0
District_of_Columbia,Unknown,15-24 ,0
District_of_Columbia,Unknown,18-29 ,0
District_of_Columbia,Unknown,25-34 ,0
District_of_Columbia,Unknown,30-49 ,0
District_of_Columbia,Unknown,35-44 ,0
District_of_Columbia,Unknown,45-54 ,0
District_of_Columbia,Unknown,50-64 ,0
District_of_Columbia,Unknown,55-64 ,0
District_of_Columbia,Unknown,65-74 ,0
District_of_Columbia,Unknown,75-84 ,0
District_of_Columbia,Unknown,85 _and_over,0
District_of_Columbia,Unknown,All_Ages,0
District_of_Columbia,All_Sexes,All_Ages,717
Florida,Male,Under_1_year,0
Florida,Male,0-17 ,
Florida,Male,1-4 ,0
Florida,Male,5-14 ,
Florida,Male,15-24 ,14
Florida,Male,18-29 ,27
Florida,Male,25-34 ,40
Florida,Male,30-49 ,274
Florida,Male,35-44 ,126
Florida,Male,45-54 ,312
Florida,Male,50-64 ,963
Florida,Male,55-64 ,773
Florida,Male,65-74 ,1366
Florida,Male,75-84 ,1783
Florida,Male,85 _and_over,1534
Florida,Male,All_Ages,5949
Florida,Female,Under_1_year,0
Florida,Female,0-17 ,
Florida,Female,1-4 ,0
Florida,Female,5-14 ,
Florida,Female,15-24 ,
Florida,Female,18-29 ,13
Florida,Female,25-34 ,25
Florida,Female,30-49 ,152
Florida,Female,35-44 ,76
Florida,Female,45-54 ,156
Florida,Female,50-64 ,487
Florida,Female,55-64 ,389
Florida,Female,65-74 ,894
Florida,Female,75-84 ,1340
Florida,Female,85 _and_over,1901
Florida,Female,All_Ages,4789
Florida,Unknown,Under_1_year,0
Florida,Unknown,0-17 ,0
Florida,Unknown,1-4 ,0
Florida,Unknown,5-14 ,0
Florida,Unknown,15-24 ,0
Florida,Unknown,18-29 ,0
Florida,Unknown,25-34 ,0
Florida,Unknown,30-49 ,0
Florida,Unknown,35-44 ,0
Florida,Unknown,45-54 ,0
Florida,Unknown,50-64 ,0
Florida,Unknown,55-64 ,0
Florida,Unknown,65-74 ,0
Florida,Unknown,75-84 ,0
Florida,Unknown,85 _and_over,0
Florida,Unknown,All_Ages,0
Florida,All_Sexes,All_Ages,10738
Georgia,Male,Under_1_year,
Georgia,Male,0-17 ,
Georgia,Male,1-4 ,
Georgia,Male,5-14 ,
Georgia,Male,15-24 ,
Georgia,Male,18-29 ,13
Georgia,Male,25-34 ,31
Georgia,Male,30-49 ,134
Georgia,Male,35-44 ,48
Georgia,Male,45-54 ,164
Georgia,Male,50-64 ,482
Georgia,Male,55-64 ,381
Georgia,Male,65-74 ,632
Georgia,Male,75-84 ,664
Georgia,Male,85 _and_over,435
Georgia,Male,All_Ages,2365
Georgia,Female,Under_1_year,0
Georgia,Female,0-17 ,
Georgia,Female,1-4 ,0
Georgia,Female,5-14 ,
Georgia,Female,15-24 ,
Georgia,Female,18-29 ,12
