State,Sex,Age_group,COVID-19_Deaths
Florida,Unknown,75-84_years,0
Florida,Unknown,85_years_and_over,0
Georgia,Male,Under_1_year,
Georgia,Male,0-17_years,
Georgia,Male,1-4_years,
Georgia,Male,5-14_years,
Georgia,Male,15-24_years,
Georgia,Male,18-29_years,13
Georgia,Male,25-34_years,31
Georgia,Male,30-49_years,143
Georgia,Male,35-44_years,52
Georgia,Male,45-54_years,175
Georgia,Male,50-64_years,516
Georgia,Male,55-64_years,409
Georgia,Male,65-74_years,686
Georgia,Male,75-84_years,707
Georgia,Male,85_years_and_over,459
Georgia,Female,Under_1_year,0
Georgia,Female,0-17_years,
Georgia,Female,1-4_years,0
Georgia,Female,5-14_years,
Georgia,Female,15-24_years,
Georgia,Female,18-29_years,13
Georgia,Female,25-34_years,26
Georgia,Female,30-49_years,125
Georgia,Female,35-44_years,57
Georgia,Female,45-54_years,110
Georgia,Female,50-64_years,348
Georgia,Female,55-64_years,288
Georgia,Female,65-74_years,488
Georgia,Female,75-84_years,618
Georgia,Female,85_years_and_over,725
Georgia,Unknown,Under_1_year,0
Georgia,Unknown,0-17_years,0
Georgia,Unknown,1-4_years,0
Georgia,Unknown,5-14_years,0
Georgia,Unknown,15-24_years,0
Georgia,Unknown,18-29_years,0
Georgia,Unknown,25-34_years,0
Georgia,Unknown,30-49_years,0
Georgia,Unknown,35-44_years,0
Georgia,Unknown,45-54_years,0
Georgia,Unknown,50-64_years,0
Georgia,Unknown,55-64_years,0
Georgia,Unknown,65-74_years,0
Georgia,Unknown,75-84_years,0
Georgia,Unknown,85_years_and_over,0
Hawaii,Male,Under_1_year,0
Hawaii,Male,0-17_years,0
Hawaii,Male,1-4_years,0
Hawaii,Male,5-14_years,0
Hawaii,Male,15-24_years,0
Hawaii,Male,18-29_years,0
Hawaii,Male,25-34_years,0
Hawaii,Male,30-49_years,0
Hawaii,Male,35-44_years,0
Hawaii,Male,45-54_years,
Hawaii,Male,50-64_years,
Hawaii,Male,55-64_years,
Hawaii,Male,65-74_years,11
Hawaii,Male,75-84_years,
Hawaii,Male,85_years_and_over,10
Hawaii,Female,Under_1_year,0
Hawaii,Female,0-17_years,0
Hawaii,Female,1-4_years,0
Hawaii,Female,5-14_years,0
Hawaii,Female,15-24_years,0
Hawaii,Female,18-29_years,
Hawaii,Female,25-34_years,
Hawaii,Female,30-49_years,0
Hawaii,Female,35-44_years,0
Hawaii,Female,45-54_years,
Hawaii,Female,50-64_years,
Hawaii,Female,55-64_years,
Hawaii,Female,65-74_years,
Hawaii,Female,75-84_years,
Hawaii,Female,85_years_and_over,
Hawaii,Unknown,Under_1_year,0
Hawaii,Unknown,0-17_years,0
Hawaii,Unknown,1-4_years,0
Hawaii,Unknown,5-14_years,0
Hawaii,Unknown,15-24_years,0
Hawaii,Unknown,18-29_years,0
Hawaii,Unknown,25-34_years,0
Hawaii,Unknown,30-49_years,0
Hawaii,Unknown,35-44_years,0
Hawaii,Unknown,45-54_years,0
Hawaii,Unknown,50-64_years,0
Hawaii,Unknown,55-64_years,0
Hawaii,Unknown,65-74_years,0
Hawaii,Unknown,75-84_years,0
Hawaii,Unknown,85_years_and_over,0
Idaho,Male,Under_1_year,0
Idaho,Male,0-17_years,0
Idaho,Male,1-4_years,0
Idaho,Male,5-14_years,0
Idaho,Male,15-24_years,0
Idaho,Male,18-29_years,0
Idaho,Male,25-34_years,0
Idaho,Male,30-49_years,
Idaho,Male,35-44_years,
Idaho,Male,45-54_years,
Idaho,Male,50-64_years,19
Idaho,Male,55-64_years,17
Idaho,Male,65-74_years,39
Idaho,Male,75-84_years,81
Idaho,Male,85_years_and_over,67
Idaho,Female,Under_1_year,0
Idaho,Female,0-17_years,0
Idaho,Female,1-4_years,0
